id_task,ref_task,titre,description,type_tache_id,bureau,qui,priorite,impact,statut,historique_statuts,date_derniere_maj,statut_precedent,date_debut,date_echeance,notes,projet,urgence,ssir_type_task,qualification_necessaire,ssir_qualification,datenow,str_statut,str_urgence,str_qui,str_bureau,str_impact,date_creation,date_modif,Créé par,strategie_id,strategie_objectif,strategie_sous_objectif,strategie_action,strategie_id_sous_objectif
Analyse et remédiation,,SSO," a faire : Cluster pour fiabiliser keycloak ? A faire
clarifier les notions et concepts oidc

-----------------


installation et mise en oeuvre keycloack OK 
documentation ok
bloqué sur le mode de fonctionnement derrière un proxy : ok débloqué mais à vérifier
Mise en oeuvre OIDC : ok sur guacamole/ ok sur nextcloud


",Déploiement politique sécurité,Chef SSIR,Gaël,Normal (3),Modéré,En cours,,2025-07-11 7:02pm,,,,a faire test,infrastructure système,Moyenne,,non,,2025-07-11 7:02pm,En cours,Moyenne,Gaël,Chef SSIR,Modéré,2025-03-19 3:14pm,2025-07-11 19:02:03.589610+02:00,timothee.foucart,,,,,
Déploiement politique sécurité,,"sécurisation des serveurs exposés ( intranet eww, ext)","[09/07/2025 13:47]
06/07/25 : remise derrière le kemp de eww.sdis25.fr
Attention, didier ne doit pas gèrer les redirection vers le port 80 avec des rewrite url, j'ai modifié sa conf
--------------
possibilité de forcer une authentification keycloak ?
pas d'avancées notables la configuration du serveur apache est en cause
remédiation  - sécurisation
prendre des notes
et intranet ? (YS)

---


06/07/25 : remise derrière le kemp de eww.sdis25.fr
Attention, didier ne doit pas gèrer les redirection vers le port 80 avec des rewrite url, j'ai modifié sa conf
--------------
possibilité de forcer une authentification keycloak ?
pas d'avancées notables la configuration du serveur apache est en cause
remédiation  - sécurisation
prendre des notes
et intranet ? (YS)","gestion des factures, suivi budget","Chef SSIR, Exploit, Réseau","Alex, Timothée",Faible (4),Mineur,En attente,,2025-07-11 7:02pm,,,,,conformité SSI,Longue,"""gestion des factures, suivi budget""",non,,2025-07-11 7:02pm,En attente,Longue,"Alex, Timothée","Chef SSIR, Exploit, Réseau",Mineur,2025-03-20 8:34am,2025-07-11 19:02:03.589700+02:00,timothee.foucart,rzo_conformite,Assurer le fonctionnement des systèmes d'information ,"Mettre en conformité les réseaux, logiciels et matériels","Suivi du plan d'action de l'audit réseau pour disposer d'une architecture réseau simplifiée, segmentée, exploitable et maintenable",
Mise à jour,,Evolution Libriciel,"[09/07/2025 17:31]
Mettre à jour les applications libriciel
ged notamment , trouver un intégrateur

---

Mettre à jour les applications libriciel
ged notamment , trouver un intégrateur",AMOA et MCO limitée,BDD,Isabelle,Élevé (2),Important,Validation,,2025-07-11 7:02pm,,,,audit du serveur actuel,,Moyenne,,non,,2025-07-11 7:02pm,Validation,Moyenne,Isabelle,BDD,Important,2025-03-20 8:40am,2025-07-11 19:02:03.589786+02:00,timothee.foucart,,,,,
Qualification technique,,vérif vm finances ,refaire une passe avant les prestas sur les vm finances,,"Exploit, BDD",Théo,Normal (3),Mineur,Terminé,,2025-07-11 7:02pm,,,,,,Courte,,non,,2025-07-11 7:02pm,Terminé,Courte,Théo,"Exploit, BDD",Mineur,2025-03-26 11:07pm,2025-07-11 19:02:03.589873+02:00,timothee.foucart,,,,,
Qualification technique,,marché libriciel,"marché libriciel à faire
Isa a fait la mise en context => schéma à revoir
les dossiers type sont dans le dta
Utiliser le document de chantalou",,Chef SSIR,"Isabelle, Timothée",Normal (3),Mineur,En cours,,2025-07-11 7:02pm,,,,,Évolution applicative,Courte,,non,,2025-07-11 7:02pm,En cours,Courte,"Isabelle, Timothée",Chef SSIR,Mineur,2025-03-27 11:12am,2025-07-11 19:02:03.589957+02:00,timothee.foucart,,,,,
,,vérif install ASTRESGF,"[11/07/2025 01:22 (Utilisateur)]
vérification des serveurs => en attente bdd+ exploit
vérifier la capacité à exploiter en arrêtant les vm dans une ordre aléatoire
=> toujours en attanet de l'exploit : le périmètre applicatif n'est pas connu
problème remonté au copil astre
------------------
suivi de l'install => ok
ok séance de formation pour l'exploitation
reste la vm à fournir ==> theo/exploit ok

---

[09/07/2025 08:24]
vérification des serveurs => en attente bdd+ exploit
vérifier la capacité à exploiter en arrêtant les vm dans une ordre aléatoire
=> toujours en attanet de l'exploit : le périmètre applicatif n'est pas connu
problème remonté au copil astre
------------------
suivi de l'install => ok
ok séance de formation pour l'exploitation
reste la vm à fournir ==> theo/exploit ok

---

vérification des serveurs => en attente bdd+ exploit
vérifier la capacité à exploiter en arrêtant les vm dans une ordre aléatoire
=> toujours en attanet de l'exploit : le périmètre applicatif n'est pas connu
problème remonté au copil astre
------------------
suivi de l'install => ok
ok séance de formation pour l'exploitation
reste la vm à fournir ==> theo/exploit ok",,"BDD, Exploit","Chloé, Isabelle, Paul, Théo",Élevé (2),Important,Validation,,2025-07-11 7:02pm,,,,,Évolution applicative,Courte,,non,,2025-07-11 7:02pm,Validation,Courte,"Chloé, Isabelle, Paul, Théo","BDD, Exploit",Important,2025-04-06 5:45pm,2025-07-11 19:02:03.590050+02:00,timothee.foucart,,,,,
,,rapport casdis,rendre rapport  casdis avant le 11/04,,Chef SSIR,Timothée,Normal (3),Mineur,Terminé,,2025-07-11 7:02pm,,,,,,Immédiate,,non,,2025-07-11 7:02pm,Terminé,Immédiate,Timothée,Chef SSIR,Mineur,2025-04-06 7:36pm,2025-07-11 19:02:03.590133+02:00,timothee.foucart,Mettre_en_place_Définir_les_budgets,Répondre aux demandes des métiers,Mettre en place les solutions NexSIS-RRF,Définir les budgets et échéances financières,
,,guacamole,"[11/07/2025 01:05 (Utilisateur)]
Manque la documentation d'install et la sauvegarde de base de donnée

08/07/25
ok l'accès à l'interface d'admin est impossible depuis l'extérieur : blocage par RP
-------------------------------------
02/07/2025
le guacamole est recontruit en docker avec un authentification keycloak
encore quelques problèmes de flux à résoudre => ok pour l'exposition

----------------------------------
Plantage de la base + reconstruction en cours
donné accès à guillaume gilliot+ sylvain guy pour tests.
Attention : ,aucune iudée de la charge, pour le moment ras
en attente de retours

---

08/07/25
ok l'accès à l'interface d'admin est impossible depuis l'extérieur : blocage par RP
-------------------------------------
02/07/2025
le guacamole est recontruit en docker avec un authentification keycloak
encore quelques problèmes de flux à résoudre => ok pour l'exposition

----------------------------------
Plantage de la base + reconstruction en cours
donné accès à guillaume gilliot+ sylvain guy pour tests.
Attention : ,aucune iudée de la charge, pour le moment ras
en attente de retours",,Chef SSIR,"Chloé, Timothée",Élevé (2),Important,En cours,,2025-07-11 7:02pm,,,,,projet transverse,Moyenne,,non,,2025-07-11 7:02pm,En cours,Moyenne,"Chloé, Timothée",Chef SSIR,Important,2025-04-07 12:32pm,2025-07-11 19:02:03.590226+02:00,timothee.foucart,,,,,
,,justifications variation budgets,"[09/07/2025 13:19]
rendre un rapport sur les variations budgétaires 2023-2024
=> à simplifier. commencé, pas fini
 on fait le mort rien de plus à expliquer que l'année dernière

---

rendre un rapport sur les variations budgétaires 2023-2024
=> à simplifier. commencé, pas fini
 on fait le mort rien de plus à expliquer que l'année dernière",,Chef SSIR,Timothée,Urgent (1),Important,Terminé,,2025-07-11 7:02pm,,,,,,Immédiate,,non,,2025-07-11 7:02pm,Terminé,Immédiate,Timothée,Chef SSIR,Important,2025-04-10 8:27pm,2025-07-11 19:02:03.590311+02:00,timothee.foucart,Mettre_en_place_Définir_les_budgets,Répondre aux demandes des métiers,Mettre en place les solutions NexSIS-RRF,Définir les budgets et échéances financières,
,,nextcloud avec SSO et OnlyOffice,"08/07/25 
nextcloud.sdis25.fr
Ok pour l'oidc+ nextcloud, bug bloquant avec une appli foireuse. recontruction depuis le départ
OK pour nextcloud. a tester
-------------------
Toujours en test  + onlyoffice ok
besoin de tester l'oidc avec keycloak
possible de l'exposer mais besoin de l'exploit 
doc à finir",,"Chef SSIR, Exploit, Réseau",,Élevé (2),Important,Validation,,2025-07-11 7:02pm,,,,,Évolution applicative,Moyenne,,non,,2025-07-11 7:02pm,Validation,Moyenne,,"Chef SSIR, Exploit, Réseau",Important,2025-04-10 8:28pm,2025-07-11 19:02:03.590385+02:00,timothee.foucart,GT_Bâtir_les_systèmes_Proposer_les_outils,Assurer la transition vers les systèmes d'information de demain,Bâtir les systèmes d'information de demain,"Proposer les outils de demain (informatique = cloud, outils de communication modernes, téléphonie)",
,,sisprev v4,"[09/07/2025 13:49]
Problème côté inetum : impossible de communiquer sur le sujet ?
en attente de inetum ?

---

en attente de inetum ?",,Chef SSIR,"Théo, Timothée",Normal (3),Modéré,En attente,,2025-07-11 7:02pm,,,,,Évolution applicative,Courte,,non,,2025-07-11 7:02pm,En attente,Courte,"Théo, Timothée",Chef SSIR,Modéré,2025-04-10 8:30pm,2025-07-11 19:02:03.590472+02:00,timothee.foucart,,,,,
,,décommissionnement o365,"remettre le relais smtp.sdis25.fr partout
------------------------
=> OK finir le nettoyage : il y a encore des traces d'o365 sur le serveur mail

smtp => remplacer par le nouveau relai : où en est on ? paramétrage sans authentification

configurations serveur :  ok = envoyé les trace tf/fait
-------------------------------------------------------------------------------------------
nettoyage ok côté réseau
côôoté exploit : en attente mise en place de relai smtp
--------------------
Où en est-on ? qui est encore sur o365 ? apparemment ok personne n' est encore dessus
OK problème identifié dans le relai mail=> ok pour le dkim le spf peut être allégé
+ possibilité de faire du smtp depuis dl'extérieur moyennant une identifications spéciffique
=> reste à finaliser un schéma simple",,"Chef SSIR, Exploit","Alex, Théo, Timothée",Élevé (2),Important,En cours,,2025-07-11 7:02pm,,,,,infrastructure système,Moyenne,,non,,2025-07-11 7:02pm,En cours,Moyenne,"Alex, Théo, Timothée","Chef SSIR, Exploit",Important,2025-04-10 8:31pm,2025-07-11 19:02:03.590553+02:00,timothee.foucart,rzo_simplification_archi,Assurer le fonctionnement des systèmes d'information ,"Mettre en conformité les réseaux, logiciels et matériels","Simplification des architectures : internet, intranet, extranet, serveurs de fichiers, serveur mail…",
,,gestion de formulaire internes,"trouver une solution de gestion des formulaires internalisé
brickform ?",,Chef SSIR,Timothée,Élevé (2),Important,En cours,,2025-07-11 7:02pm,,,,,Évolution applicative,Moyenne,,non,,2025-07-11 7:02pm,En cours,Moyenne,Timothée,Chef SSIR,Important,2025-04-10 10:28pm,2025-07-11 19:02:03.590673+02:00,timothee.foucart,,,,,
,,centralisation inventaire SSIR,"[11/07/2025 01:01 (Utilisateur)]
évaluer les possibilités de rassembler l'inventaire radio/télécom vers glpi. Autre outil ? 
Objectif : sortir d'excel
Envisager des phases transitoires

---

évaluer les possibilités de rassembler l'inventaire radio/télécom vers glpi. Autre outil ? 
Objectif : sortir d'excel
Envisager des phases transitoires",,Réseau,"Alex, Thomas",Faible (4),Modéré,À faire,,2025-07-11 7:02pm,,,,,Projets transverses,Longue,,non,,2025-07-11 7:02pm,À faire,Longue,"Alex, Thomas",Réseau,Modéré,2025-04-11 8:41am,2025-07-11 19:02:03.590762+02:00,timothee.foucart,,,,,Organiser les modalités de saisines et le suivi des réponses du service aux sollicitations
,,"Supervision, analyse : mise en place de grafana","[10/07/2025 17:49]
installation de grafana, stabilisation de l'influxdb

---

installation de grafana, stabilisation de l'influxdb",,Chef SSIR,Timothée,Élevé (2),Important,À faire,"{""historique"":[{""statut"":""À faire"",""date_entree"":""2025-07-10T15:50:08.863Z"",""date_sortie"":null,""duree_minutes"":null,""utilisateur"":""Système"",""note"":""Déplacé par glisser-déposer"",""timestamp"":""2025-07-10T15:50:08.863Z""}],""version"":1}",2025-07-11 7:02pm,Backlog,,,,infrastructure système,Moyenne,,non,,2025-07-11 7:02pm,À faire,Moyenne,Timothée,Chef SSIR,Important,2025-04-11 8:53am,2025-07-11 19:02:03.590842+02:00,timothee.foucart,chefssir_supervision,Garantir la sécurité des systèmes d'information ,Surveiller les activités informatiques,Amélioration des outils de supervision,Surveiller les activités informatiques
,,analyse intranet-extranet,"analyse de l'existant
schema draw.io
De belles avancées, déterminer la bonne ip pour intranet
Toujours coincé par la config serveur",,Chef SSIR,"Alex, Timothée",Élevé (2),Important,En cours,,2025-07-11 7:02pm,,,,,Conformité SSI,Moyenne,,non,,2025-07-11 7:02pm,En cours,Moyenne,"Alex, Timothée",Chef SSIR,Important,2025-04-11 8:57am,2025-07-11 19:02:03.590927+02:00,timothee.foucart,chef_ssir_transmission_intranet,Répondre aux demandes des métiers,Pérenniser les outils à destination des métiers et utilisateurs,Transmission des connaissances d'exploitation et développement d'intranet,Pérenniser les outils à destination des métiers et utilisateurs
,,marché réseau,"A transférer aux marchés
----------------------------------------
en cours ./ vérifier et corriger les articles du ccag tic => OK
+ Voir pour ajouter au moins une fois par mois  = > mise en place pilotage une fois  tous les deux mois et plus si besoin.
+ Vérifier les annexes => presque ok.
+ ajouter un modèle pour le suivi de projet ? attention à fixer des délais",,"Chef SSIR, Réseau","Alex, Timothée",Élevé (2),Important,Validation,,2025-07-11 7:02pm,,,,,,Courte,,non,,2025-07-11 7:02pm,Validation,Courte,"Alex, Timothée","Chef SSIR, Réseau",Important,2025-04-12 5:10pm,2025-07-11 19:02:03.591022+02:00,timothee.foucart,rzo_conformite,Assurer le fonctionnement des systèmes d'information ,"Mettre en conformité les réseaux, logiciels et matériels","Suivi du plan d'action de l'audit réseau pour disposer d'une architecture réseau simplifiée, segmentée, exploitable et maintenable","Mettre en conformité les réseaux, logiciels et matériels"
,,config offline des 800+cam,"se mettre hors ligne et configurer les cameras ( sock +w800 )
l'adressse par défaut est 19.168.0.90 => assigner les ip du vlande destination
Ne pas mettre de dhcp sur les vlan camera",,"Chef SSIR, Réseau","Alex, Timothée",Urgent (1),Critique,Terminé,,2025-07-11 7:02pm,,,,,,Courte,,non,,2025-07-11 7:02pm,Terminé,Courte,"Alex, Timothée","Chef SSIR, Réseau",Critique,2025-04-13 3:57pm,2025-07-11 19:02:03.591126+02:00,timothee.foucart,rssi_exploit_inventaire_auto,Répondre aux demandes des métiers,Organiser les modalités de saisines et le suivi des réponses du service aux sollicitations,Mise en place d'un inventaire automatisé en lien avec un outil de déploiement des matériels,Organiser les modalités de saisines et le suivi des réponses du service aux sollicitations
,,keycloak+ nextcloud,"une fois derrière le RP
Essayer openid avec nextcloud
problème sur le scope openid  
POK il fallait changer le client openid attention, les mauvais clients ont flinbgué nextcloyud",,Chef SSIR,Timothée,Normal (3),Modéré,Validation,,2025-07-11 7:02pm,,,,,,Moyenne,,non,,2025-07-11 7:02pm,Validation,Moyenne,Timothée,Chef SSIR,Modéré,2025-04-13 4:02pm,2025-07-11 19:02:03.591209+02:00,timothee.foucart,exploit_acces_distants,Assurer le fonctionnement des systèmes d'information ,"Mettre en conformité les réseaux, logiciels et matériels","Sécurisation et homogénéisation des moyens d'accès distant (RDS, VPN, dotations en matériel portable)","Mettre en conformité les réseaux, logiciels et matériels"
,,mise en prod bookstack,,,Exploit,Théo,Élevé (2),Important,Terminé,,2025-07-11 7:02pm,,,,,,Courte,,non,,2025-07-11 7:02pm,Terminé,Courte,Théo,Exploit,Important,2025-04-14 11:42am,2025-07-11 19:02:03.591303+02:00,timothee.foucart,exploit_CMDB,Assurer le fonctionnement des systèmes d'information ,Appliquer les dispositions organisationnelles des annexes 1 et 2,Établissement de procédures partagées (bonnes pratiques),Appliquer les dispositions organisationnelles des annexes 1 et 2
